Jersey	Jersey
Germany_Baden-Wurttemberg	Germany_Baden-Wurttemberg_Regierungsbezirk Stuttgart_Stuttgart
Kiribati	Kiribati
Belgium	Belgium_West Flanders
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Dusseldorf
Belgium	Belgium_East Flanders
Japan_Kinki	Japan_Kinki Region_Osaka
Canada_Newfoundland and Labrador	Canada_Labrador_South
France_Provence-Alpes-Cote d'Azur	France_Provence-Alpes-Cote dAzur_Var
Italy	Italy_Piemont_Torino
Belgium	Belgium_Walloon Brabant
Italy	Italy_Piemont_Biella
Italy	Italy_Veneto_Belluno
Czech Republic	Czech_Severovychod_Pardubicky kraj
Italy	Italy_Friuli-Venezia Giulia_Gorizia
Italy	Italy_Veneto_Venezia
Italy	Italy_Friuli-Venezia Giulia_Pordenone
Germany_Baden-Wurttemberg	Germany_Baden-Wurttemberg_Regierungsbezirk Tubingen
Germany_Baden-Wurttemberg	Germany_Baden-Wurttemberg_Regierungsbezirk Freiburg
Italy	Italy_Lombardy_Sondrio
Italy	Italy_Piemont_Asti
Czech Republic	Czech_Severovychod_Kralovehradecky kraj
Italy	Italy_Piemont_Cuneo
Italy	Italy_Piemont_Alessandria
Italy	Italy_Emilia-Romagna_Rimini
France_Paris & Ile-de-France	France_Ile-de-France_Essonne
Italy	Italy_Marche
Italy	Italy_Friuli-Venezia Giulia_Trieste
Italy	Italy_Friuli-Venezia Giulia_Udine
Micronesia	Federated States of Micronesia
Italy	Italy_Lombardy_Monza and Brianza
Italy	Italy_Veneto_Rovigo
Italy	Italy_Veneto_Padova
Italy	Italy_Veneto_Verona
Italy	Italy_Veneto_Treviso
France_Midi-Pyrenees	France_Midi-Pyrenees_Ariege
France_Midi-Pyrenees	France_Midi-Pyrenees_Hautes-Pyrenees
France_Pays de la Loire	France_Pays de la Loire_Vendee
Germany_Bavaria	Germany_Free State of Bavaria_Upper Bavaria_East
Germany_Hesse	Germany_Hesse_Regierungsbezirk Giessen
France_Midi-Pyrenees	France_Midi-Pyrenees_Gers
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Arnsberg_Arnsberg
France_Provence-Alpes-Cote d'Azur	France_Provence-Alpes-Cote dAzur_Vaucluse
Germany_Bremen & Lower Saxony	Germany_Lower Saxony_Hannover
France_Provence-Alpes-Cote d'Azur	France_Provence-Alpes-Cote dAzur_Alpes-de-Haute-Provence
Japan_Kinki	Japan_Kinki Region_Wakayama
Japan_Kinki	Japan_Kinki Region_Mie
France_Limousin	France_Limousin
Solomon Islands	Solomon Islands
France_Auvergne	France_Auvergne_Puy-de-Dome
France_Aquitaine	France_Aquitaine_Lot-et-Garonne
Japan_Kinki	Japan_Shikoku Region_Kyoto
Japan_Kinki	Japan_Kinki Region_Nara
Germany_Bavaria	Germany_Free State of Bavaria_Upper Franconia
Germany_Hesse	Germany_Hesse_Regierungsbezirk Kassel
Czech Republic	Czech_Jihovychod_Kraj Vysocina
Netherlands	Netherlands_Flevoland
Italy	Italy_Piemont_Novara
